rank,coin_id,symbol,name,market_cap,market_cap_rank,current_price,total_volume,composite_score,pct_dilution,pct_liquidity,pct_momentum_200d,pct_momentum_30d,pct_size_tilt,pct_trend_health,pct_volatility,raw_dilution,raw_liquidity,raw_momentum_200d,raw_momentum_30d,raw_size_tilt,raw_trend_health,raw_volatility
1,venice-token,VVV,Venice Token,1178275937,68,24.58,93066958,64.74358974,0,0.6923076923,1,0.9487179487,0.9487179487,0.9743589744,0.07692307692,,0.07898570706,5.313,1.061,1178275937,0.8420692018,1.193121791
2,zcash,ZEC,Zcash,18643608438,10,1101.5,1606695314,64.30022337,0.6206896552,0.7435897436,0.9736842105,1,0.1282051282,0.641025641,0.1025641026,0.805985499,0.08617941743,3.477,1.267,1.864360844e+10,0.3450890214,1.157289225
3,lighter,LIT,Lighter,1109928157,70,4.44,89904790,64.08674205,0.03448275862,0.7179487179,0.9473684211,0.9230769231,1,0.8205128205,0.1282051282,0.25,0.08100054894,2.213,0.956,1109928157,0.5648854962,1.107448121
4,okb,OKB,OKB,2344216437,42,111.63,32306077,62.73733073,0.9827586207,0.1282051282,0.7894736842,0.4102564103,0.5128205128,0.7435897436,0.8974358974,1,0.01378118355,0.465,0.169,2344216437,0.4880213343,0.4219371108
5,ethena,ENA,Ethena,1433149853,58,0.141962,276082058,62.40669645,0.4827586207,1,0.7631578947,0.8717948718,0.8461538462,0.2051282051,0.05128205128,0.6730208333,0.1926400491,0.412,0.592,1433149853,0.09339605263,1.195382166
6,aave,AAVE,Aave,1883704759,46,122.1,170774738,61.44085346,0.8965517241,0.7948717949,0.4473684211,0.7692307692,0.5897435897,0.4615384615,0.2307692308,0.9642226574,0.09065897253,0.004,0.364,1883704759,0.1845274978,0.861947547
7,uniswap,UNI,Uniswap,3697223118,28,5.93,515429880,60.12052678,0.4137931034,0.9230769231,0.8421052632,0.8974358974,0.358974359,0.358974359,0.1538461538,0.6232124237,0.1394100014,0.63,0.693,3697223118,0.1320124666,0.9376433582
8,pump-fun,PUMP,Pump.fun,1480086378,56,0.00357075,201427568,59.85213365,0.2413793103,0.8717948718,0.8684210526,0.7435897436,0.7948717949,0.6923076923,0.02564102564,0.414503016,0.1360917653,0.892,0.355,1480086378,0.4048891721,1.381529094
9,bitcoin,BTC,Bitcoin,1546249029600,1,76994,2.848790632e+10,56.71878636,0.8275862069,0.2051282051,0.5263157895,0.5384615385,0,0.8717948718,0.9230769231,0.9563199048,0.01842387984,0.164,0.201,1.54624903e+12,0.6106757614,0.3883650124
10,hyperliquid,HYPE,Hyperliquid,17550231775,11,78.9,1021087014,56.37989204,0,0.5641025641,0.9210526316,0.8205128205,0.1538461538,1,0.4102564103,0.2224457141,0.05818082787,1.843,0.426,1.755023178e+10,0.8805803571,0.7586729379
11,near,NEAR,NEAR Protocol,3152666100,32,2.41,439352795,56.36977058,0,0.8974358974,0.8947368421,0.8461538462,0.4358974359,0.2820512821,0.358974359,,0.1393591269,1.436,0.488,3152666100,0.1179060665,0.7639931883
12,polkadot,DOT,Polkadot,1839475787,49,1.081,205448204,53.61638513,0.6551724138,0.8461538462,0.1842105263,0.7948717949,0.641025641,0.02564102564,0.3846153846,0.810595669,0.1116884525,-0.165,0.374,1839475787,0.01966169516,0.7609634561
13,pepe,PEPE,Pepe,1365921142,61,3.25e-06,216167573,53.00723626,0.9827586207,0.9743589744,0.1578947368,0.3333333333,0.8974358974,0.2564102564,0.2051282051,1,0.1582577254,-0.212,0.145,1365921142,0.1159471994,0.9186877259
14,litecoin,LTC,Litecoin,4067564219,25,52.42,240546747,52.94580948,0.7931034483,0.5897435897,0.3947368421,0.358974359,0.3333333333,0.3076923077,0.8461538462,0.9237532513,0.05913778715,-0.007,0.154,4067564219,0.127772632,0.458115455
15,htx-dao,HTX,HTX DAO,1511625013,54,1.68e-06,51894258,52.18227931,0.7586206897,0.3333333333,0.4210526316,0,0.7692307692,0.7179487179,0.9743589744,0.8982417111,0.03433011332,0.001,-0.079,1511625013,0.448,0.2293641448
