rank,coin_id,symbol,name,market_cap,market_cap_rank,current_price,total_volume,composite_score,pct_dilution,pct_liquidity,pct_momentum_200d,pct_momentum_30d,pct_size_tilt,pct_trend_health,pct_volatility,raw_dilution,raw_liquidity,raw_momentum_200d,raw_momentum_30d,raw_size_tilt,raw_trend_health,raw_volatility
1,arbitrum,ARB,Arbitrum,1144608715,69,0.171373,355874868,67.375,0.5,1,0.85,1,0.975,0.2,0.025,0.6678075931,0.3109139947,0.787,1.207,1144608715,0.0717041841,1.307073022
2,lighter,LIT,Lighter,1181344405,68,4.73,123439077,65.125,0.03333333333,0.75,0.975,0.95,0.95,0.875,0.1,0.25,0.1044903387,2.218,1.058,1181344405,0.6017811705,1.12537739
3,ethena,ENA,Ethena,1636929375,55,0.162183,416629014,63.75,0.5333333333,0.95,0.75,0.925,0.85,0.25,0.05,0.6730208333,0.2545186252,0.468,0.846,1636929375,0.1066993421,1.171047293
4,pump-fun,PUMP,Pump.fun,1678621160,53,0.00424955,314815032,62.625,0.2,0.875,0.9,0.875,0.8,0.75,0,0.3950226325,0.1875438244,1.041,0.703,1678621160,0.4818586519,1.373386606
5,okb,OKB,OKB,2425986286,42,115.52,42041617,61.75,0.9833333333,0.15,0.725,0.35,0.575,0.8,0.875,1,0.01732970101,0.456,0.239,2425986286,0.5050275422,0.4181445516
6,uniswap,UNI,Uniswap,4400114018,22,7.06,588491520,60.125,0.4,0.85,0.875,0.9,0.375,0.425,0.15,0.6232124237,0.133744607,0.917,0.78,4400114018,0.1571682992,0.8884215422
7,zcash,ZEC,Zcash,19131556628,9,1130.41,810800420,59.875,0.6666666667,0.4,1,0.975,0.15,0.675,0.075,0.8057028353,0.04238026397,3.354,1.206,1.913155663e+10,0.3541462375,1.132158275
8,aave,AAVE,Aave,2015841218,46,130.67,195184117,59.25,0.9333333333,0.675,0.375,0.75,0.65,0.5,0.2,0.9642167209,0.09682514439,0.022,0.425,2015841218,0.1974791821,0.8596941243
9,chainlink,LINK,Chainlink,9463869641,15,12.65,493932395,58.375,0.6,0.525,0.625,0.8,0.25,0.575,0.525,0.7480999704,0.05219137771,0.29,0.518,9463869641,0.2400379507,0.6267946512
10,hyperliquid,HYPE,Hyperliquid,18694099515,10,84.04,1150957105,56.625,0,0.575,0.95,0.85,0.175,0.975,0.35,0.2224457141,0.06156793506,1.883,0.535,1.869409952e+10,0.9379464286,0.7523431203
