rank,coin_id,symbol,name,market_cap,market_cap_rank,current_price,total_volume,composite_score,pct_dilution,pct_liquidity,pct_momentum_200d,pct_momentum_30d,pct_size_tilt,pct_trend_health,pct_volatility,raw_dilution,raw_liquidity,raw_momentum_200d,raw_momentum_30d,raw_size_tilt,raw_trend_health,raw_volatility
1,ethena,ENA,Ethena,1428144387,61,0.141433,410335296,63.84146341,0.5,1,0.756097561,0.9024390244,0.9024390244,0.2195121951,0.0487804878,0.6730208333,0.2873205957,0.493,0.631,1428144387,0.09304802632,1.208577582
2,zcash,ZEC,Zcash,19462287770,10,1149.95,1770523811,63.64634146,0.6333333333,0.756097561,0.9756097561,1,0.1463414634,0.6341463415,0.0243902439,0.805985499,0.09097202918,3.972,1.322,1.946228777e+10,0.3602679257,1.216942903
3,lighter,LIT,Lighter,1091829103,70,4.37,80171934,63.30487805,0.03333333333,0.6341463415,0.9512195122,0.9756097561,0.9756097561,0.8292682927,0.09756097561,0.25,0.07342901355,2.198,0.849,1091829103,0.5559796438,1.116737272
4,aave,AAVE,Aave,1970445644,45,127.63,226538421,62.8902439,0.9,0.8536585366,0.4390243902,0.8292682927,0.5853658537,0.4634146341,0.1951219512,0.9642234111,0.1149681148,0.089,0.424,1970445644,0.1928848857,0.8685300962
5,venice-token,VVV,Venice Token,1111398416,69,23.18,69426253,62.19512195,0,0.5365853659,1,0.9512195122,0.9512195122,0.9512195122,0.07317073171,,0.06246747521,5.901,0.844,1111398416,0.7941075711,1.20022102
6,uniswap,UNI,Uniswap,3969728489,26,6.37,678308483,60.51219512,0.4,0.9024390244,0.8536585366,0.9268292683,0.3902439024,0.3902439024,0.1219512195,0.6232124237,0.1708702459,0.792,0.771,3969728489,0.1418076581,0.9414710455
7,near,NEAR,NEAR Protocol,3090728594,33,2.37,564431362,57.31707317,0,0.9268292683,0.9024390244,0.8536585366,0.487804878,0.243902439,0.3658536585,,0.1826208109,1.44,0.428,3090728594,0.1159491194,0.7656769681
8,pump-fun,PUMP,Pump.fun,1476220339,58,0.00356249,190089269,57.15853659,0.2333333333,0.8780487805,0.8780487805,0.6097560976,0.8292682927,0.6829268293,0,0.4143578524,0.128767545,1.029,0.282,1476220339,0.4039525665,1.416774434
9,bitcoin,BTC,Bitcoin,1553184452986,1,77337,3.19655645e+10,56.40243902,0.8333333333,0.2195121951,0.5853658537,0.487804878,0,0.8536585366,0.9024390244,0.9563458095,0.02058066216,0.223,0.213,1.553184453e+12,0.6133962563,0.3934099607
10,pepe,PEPE,Pepe,1430519622,60,3.4e-06,262794525,56.21341463,0.9833333333,0.9512195122,0.1707317073,0.5365853659,0.8780487805,0.2926829268,0.1463414634,1,0.1837056416,-0.138,0.246,1430519622,0.1212986086,0.9366660123
11,whitebit,WBT,WhiteBIT Coin,9476789194,16,80.39,140707266,55.87804878,0.06666666667,0.09756097561,0.8292682927,0.8780487805,0.243902439,1,0.7317073171,0.29470504,0.01484756737,0.712,0.457,9476789194,0.9659937515,0.5539167559
12,okb,OKB,OKB,2397047367,42,114.12,28537460,55.23780488,0.9833333333,0,0.7804878049,0.1463414634,0.5365853659,0.7317073171,0.8780487805,1,0.01190525494,0.559,0.115,2397047367,0.498907056,0.4309069221
13,chainlink,LINK,Chainlink,8646287175,17,11.56,477432815,55.08536585,0.5666666667,0.487804878,0.6341463415,0.6829268293,0.2682926829,0.5365853659,0.5365853659,0.7480999704,0.05521824632,0.271,0.325,8646287175,0.2193548387,0.6636733448
14,hyperliquid,HYPE,Hyperliquid,17849425376,11,80.23,1187361229,55,0,0.5853658537,0.9268292683,0.8048780488,0.1707317073,0.9756097561,0.3170731707,0.2224457141,0.06652097779,2.003,0.383,1.784942538e+10,0.8954241071,0.7756061736
15,sky,SKY,Sky,1493690043,56,0.063767,23694557,54.36585366,0.9333333333,0.1463414634,0.3414634146,0.3902439024,0.8048780488,0.8780487805,0.5609756098,0.9983633443,0.01586310166,0.001,0.2,1493690043,0.6342766201,0.6216252469
16,litecoin,LTC,Litecoin,4195922672,25,54.06,235263438,53.70731707,0.8,0.512195122,0.4146341463,0.4146341463,0.3658536585,0.3414634146,0.8292682927,0.9237931323,0.05606953616,0.063,0.205,4195922672,0.131770097,0.4597841641
17,htx-dao,HTX,HTX DAO,1531067642,54,1.71e-06,68286717,53.08536585,0.7666666667,0.4146341463,0.3902439024,0,0.7804878049,0.7073170732,0.9756097561,0.8982417111,0.04460071856,0.032,-0.067,1531067642,0.456,0.2285836613
18,solana,SOL,Solana,59861210375,7,102.04,4400352792,52.80487805,0,0.6585365854,0.6585365854,0.7317073171,0.09756097561,0.6097560976,0.756097561,,0.07350925189,0.33,0.342,5.986121038e+10,0.3478913095,0.5251090637
19,ethereum,ETH,Ethereum,309402519284,2,2535.06,2.363674717e+10,52.68292683,0,0.6829268293,0.6829268293,0.7073170732,0.0243902439,0.756097561,0.6829268293,,0.07639481161,0.387,0.341,3.094025193e+11,0.5125423318,0.571158628
20,polkadot,DOT,Polkadot,1779313083,50,1.044,173800262,52.31707317,0.6666666667,0.8048780488,0.1463414634,0.756097561,0.6829268293,0.0243902439,0.3902439024,0.8106585042,0.09767829151,-0.165,0.346,1779313083,0.01898872317,0.7631626036
21,monero,XMR,Monero,10030315385,14,533.11,127113895,48.53658537,0,0.0243902439,0.8048780488,0.6585365854,0.2195121951,0.9024390244,0.7804878049,,0.0126729709,0.693,0.308,1.003031538e+10,0.6682837552,0.5246503846
22,binancecoin,BNB,BNB,97994415359,4,735.99,1245985036,48.09756098,0.4666666667,0.0487804878,0.6097560976,0.4512195122,0.0487804878,0.7804878049,0.9268292683,0.6658051845,0.01271485759,0.254,0.206,9.799441536e+10,0.5372228994,0.3656597804
23,bittensor,TAO,Bittensor,2270675004,43,236.55,202207754,47.65853659,0.2666666667,0.7317073171,0.4634146341,0.3658536585,0.5609756098,0.5853658537,0.4634146341,0.457023381,0.0890518254,0.106,0.179,2270675004,0.3122360084,0.7045184064
24,ripple,XRP,XRP,86299173296,5,1.37,2486226262,46.98780488,0.4333333333,0.3170731707,0.3658536585,0.7804878049,0.07317073171,0.6585365854,0.487804878,0.6287920985,0.02880938678,0.023,0.357,8.62991733e+10,0.3753424658,0.6779384792
25,ethereum-classic,ETC,Ethereum Classic,1226982756,68,7.76,53004924,45.34146341,0.6,0.3658536585,0.2682926829,0.512195122,0.9268292683,0.07317073171,0.4390243902,0.7505753803,0.04319940418,-0.057,0.228,1226982756,0.04644203723,0.71656803
26,morpho,MORPHO,Morpho,1575248520,52,2.29,22908972,45.07317073,0.5333333333,0.07317073171,0.7317073171,0.3170731707,0.7317073171,0.8048780488,0.2195121951,0.6889841514,0.01454308429,0.432,0.171,1575248520,0.5491606715,0.8510930146
27,aster-2,ASTER,Aster,1858158610,48,0.687048,120652038,44.07317073,0.1333333333,0.5609756098,0.3170731707,0.243902439,0.6341463415,0.5609756098,0.8048780488,0.3380088833,0.06493096841,-0.008,0.137,1858158610,0.2850821577,0.4809352781
28,polygon-ecosystem-token,POL,POL (ex-MATIC),1032943563,72,0.096462,81460702,43.65853659,0,0.7073170732,0.2195121951,0.6341463415,1,0.1951219512,0.3414634146,,0.07886268419,-0.092,0.289,1032943563,0.07477674419,0.7726847356
29,mantle,MNT,Mantle,1896948052,46,0.574358,28484452,42.19512195,0.3333333333,0.1219512195,0.2926829268,0.5609756098,0.6097560976,0.487804878,0.5853658537,0.5309738178,0.01501593677,-0.017,0.247,1896948052,0.2008244755,0.6083046895
30,avalanche-2,AVAX,Avalanche,3293864612,30,7.44,314540312,41.23170732,0.3666666667,0.7804878049,0.1951219512,0.2682926829,0.4146341463,0.09756097561,0.7073170732,0.6145761408,0.09549278706,-0.11,0.145,3293864612,0.05132450331,0.5631014001
31,internet-computer,ICP,Internet Computer,1533255706,53,2.76,38247702,40.12195122,0,0.243902439,0.512195122,0.5853658537,0.756097561,0,0.6341463415,,0.02494541638,0.208,0.266,1533255706,0.003939199315,0.6011191769
32,worldcoin-wld,WLD,Worldcoin,1469945953,59,0.402306,159710792,39.69512195,0.1666666667,0.8292682927,0.487804878,0.2926829268,0.8536585366,0.0487804878,0.1707317073,0.3653735808,0.108650792,0.109,0.157,1469945953,0.03426797274,0.931005019
33,hedera-hashgraph,HBAR,Hedera,3278366570,31,0.074804,55708488,38.80487805,0.7333333333,0.1951219512,0.07317073171,0.1707317073,0.4390243902,0.3170731707,0.8536585366,0.8766311935,0.01699275746,-0.206,0.121,3278366570,0.1314128409,0.4456237499
