rank,coin_id,symbol,name,market_cap,market_cap_rank,current_price,total_volume,composite_score,pct_dilution,pct_liquidity,pct_momentum_200d,pct_momentum_30d,pct_size_tilt,pct_trend_health,pct_volatility,raw_dilution,raw_liquidity,raw_momentum_200d,raw_momentum_30d,raw_size_tilt,raw_trend_health,raw_volatility
1,useless-3,USELESS,Useless Coin,229761255,163,0.229742,118596364,78.03175774,0.87,0.9712230216,0.9769230769,0.9855072464,0.690647482,0.8273381295,0.05797101449,0.999940362,0.5161721631,2.774,4.666,229761255,0.5286395715,2.238630232
2,non-playable-coin,NPC,Non-Playable Coin,157988557,203,0.01961099,5748553,67.81085794,0.96,0.2661870504,0.8769230769,0.9710144928,0.8489208633,0.7050359712,0.08695652174,1,0.03638588205,0.814,2.42,157988557,0.2963773066,1.475110122
3,raydium,RAY,Raydium,321368258,134,1.19,221932368,67.17694593,0.27,1,0.6769230769,0.8695652174,0.5755395683,0.3956834532,0.7246376812,0.4856554587,0.6905858388,0.222,0.857,321368258,0.07070707071,0.5730296101
4,gmt-token,GOMINING,GoMining Token,146275635,215,0.362701,17773858,66.87202345,0.65,0.618705036,0.6038461538,0.4275362319,0.8848920863,0.8992805755,0.8260869565,0.9230649756,0.1215093546,0.121,0.243,146275635,0.6422862992,0.5261935043
5,dogwifcoin,WIF,dogwifhat,221131282,167,0.221311,64549523,66.73049012,0.96,0.9136690647,0.4615384615,0.7826086957,0.7122302158,0.2949640288,0.3985507246,1,0.2919058869,-0.042,0.552,221131282,0.04582008282,0.8227450093
6,zencash,ZEN,Horizen,132821499,233,7.24,29721461,66.68507294,0.61,0.8776978417,0.6692307692,0.8623188406,0.9496402878,0.2805755396,0.3188405797,0.8728654769,0.2237699561,0.212,0.761,132821499,0.04363548698,0.8795683304
7,marscoin-4,MARSCOIN,MarsCoin,164619755,197,0.16455,95335188,65.94363466,0.96,0.9856115108,0,0.9565217391,0.8345323741,0.8848920863,0.02898550725,1,0.5791236173,,1.828,164619755,0.624610923,3.728179191
8,melania-meme,MELANIA,Melania Meme,117826027,246,0.118102,23516375,64.01676612,0.91,0.8345323741,0.4076923077,0.7101449275,0.9856115108,0.09352517986,0.4492753623,0.999995794,0.199585572,-0.118,0.477,117826027,0.009049961686,0.7933532906
9,compound-governance-token,COMP,Compound,211293312,170,21.13,24171482,63.32162524,0.96,0.5827338129,0.6153846154,0.4927536232,0.726618705,0.1654676259,0.8115942029,1,0.1143977619,0.13,0.269,211293312,0.02472935807,0.5351571303
10,pancakeswap-token,CAKE,PancakeSwap,751027684,89,2.35,88244441,63.09058492,0.52,0.6043165468,0.8,0.8043478261,0.3597122302,0.3237410072,0.7536231884,0.8004514938,0.1174982532,0.497,0.594,751027684,0.05345768881,0.5652976815
11,artificial-inu-3,AI,Artificial Inu,210918349,173,0.212746,56324792,62.22805755,0.82,0.8920863309,0,1,0.7482014388,0.9064748201,0,0.9914046906,0.2670454812,,62.168,210918349,0.669688585,7.541876467
12,dash,DASH,Dash,871608773,79,67.91,272681898,61.06728143,0.43,0.928057554,0.8923076923,0.9202898551,0.309352518,0.2877697842,0.1956521739,0.6780836169,0.3128489598,0.952,1.181,871608773,0.04546763168,1.018538403
13,arweave,AR,Arweave,195505141,181,2.98,14447876,61.00605175,0.84,0.4316546763,0.5346153846,0.8188405797,0.7841726619,0.2302158273,0.4927536232,0.9947343333,0.0739002357,0.008,0.655,195505141,0.03339309727,0.7519192014
14,ape-and-pepe,APEPE,Ape and Pepe,247604941,157,1.18e-06,9911252,60.98046005,0.96,0.3021582734,0.5846153846,0.4565217391,0.6618705036,0.5899280576,0.7753623188,1,0.04002849038,0.089,0.254,247604941,0.1712626996,0.5568771626
15,unifai-network,UAI,UnifAI Network,154541302,206,0.646089,16759547,60.89551342,0.04,0.5611510791,0.9384615385,0.9420289855,0.8633093525,0.9784172662,0.03623188406,0.239,0.1084470416,1.852,1.634,154541302,0.9396127467,2.872568582
16,pendle,PENDLE,Pendle,369874172,123,2.15,58446534,60.80251117,0,0.7553956835,0.8692307692,0.7753623188,0.5251798561,0.6978417266,0.5797101449,,0.1580173433,0.803,0.542,369874172,0.2866666667,0.6813425512
17,akedo,AKE,Akedo,387370334,121,0.01699259,65768053,59.98159212,0.03,0.7697841727,1,0.9782608696,0.5107913669,0.7985611511,0.02173913043,0.2279625,0.1697808201,66.659,3.174,387370334,0.4671425351,4.692515797
18,chainlink,LINK,Chainlink,9899877169,14,13.23,880055966,59.83814193,0.49,0.5179856115,0.7384615385,0.7971014493,0.06474820144,0.6834532374,0.6811594203,0.7480999704,0.08889564496,0.346,0.579,9899877169,0.2510436433,0.5964576995
19,arbitrum,ARB,Arbitrum,1076093902,69,0.1609,461808337,59.29530489,0.4,0.964028777,0.8384615385,0.9057971014,0.273381295,0.3669064748,0.115942029,0.6678075931,0.4291524523,0.601,1.078,1076093902,0.06732217573,1.302040385
20,zcash,ZEC,Zcash,20233964102,9,1195.76,1555838082,58.84827362,0.54,0.4604316547,0.9846153846,0.9347826087,0.03597122302,0.7625899281,0.1594202899,0.8056731478,0.07689240102,3.669,1.358,2.02339641e+10,0.3746197442,1.06333159
21,cash-cat,CASHCAT,Cash Cat,209294025,174,0.211755,32859187,58.4950318,0.79,0.7482014388,0,0.9275362319,0.7553956835,0.9208633094,0.007246376812,0.9882872757,0.1570001198,,1.189,209294025,0.6737417156,6.037446822
22,ethena,ENA,Ethena,1713762196,52,0.169725,470675333,58.18979291,0.41,0.9064748201,0.8076923077,0.8768115942,0.2086330935,0.4748201439,0.1304347826,0.6730208333,0.2746444834,0.502,0.86,1713762196,0.1116611842,1.173122269
23,okb,OKB,OKB,2433130131,41,115.85,25996899,58.16380902,0.96,0.007194244604,0.7846153846,0.4166666667,0.1510791367,0.8129496403,0.9275362319,1,0.01068454937,0.488,0.24,2433130131,0.5064702282,0.4197192112
24,pudgy-penguins,PENGU,Pudgy Penguins,553764529,102,0.0088075,214035563,58.00247187,0.46,0.9568345324,0.7153846154,0.6376811594,0.4316546763,0.5035971223,0.2608695652,0.707179456,0.386510063,0.295,0.398,553764529,0.128676202,0.9333710395
25,uniswap,UNI,Uniswap,4433803854,22,7.1,680213032,57.84776794,0.35,0.726618705,0.8846153846,0.8550724638,0.09352517986,0.5827338129,0.3043478261,0.6232124237,0.1534152286,0.938,0.759,4433803854,0.1580587711,0.8874972335
26,pump-fun,PUMP,Pump.fun,1793301086,50,0.00453717,315445037,57.79131477,0.2,0.7769784173,0.9,0.8985507246,0.1942446043,0.8201438849,0.1014492754,0.3951693178,0.1759018825,1.229,0.967,1793301086,0.5144720311,1.380929209
27,bittensor,TAO,Bittensor,2545566067,40,265.23,459708488,57.48644362,0.25,0.7985611511,0.7615384615,0.5942028986,0.1438848921,0.7338129496,0.6449275362,0.457023381,0.180591851,0.415,0.344,2545566067,0.350092397,0.6264944605
28,ether-fi,ETHFI,Ether.fi,577630358,99,0.598239,58906658,57.36988362,0.76,0.5395683453,0.7076923077,0.7898550725,0.4100719424,0.3884892086,0.231884058,0.96535,0.1019798513,0.291,0.563,577630358,0.07013352872,0.988615003
29,antfun,ANTFUN,AntFun,140192208,222,0.074263,12772554,57.01893963,0.01,0.5251798561,0,0.847826087,0.9208633094,1,0.8550724638,0.1887639996,0.09110744586,,0.721,140192208,0.9878945898,0.505259636
30,fartcoin,FARTCOIN,Fartcoin,173106805,191,0.173164,35561747,56.63972715,0.88,0.8561151079,0.2461538462,0.5869565217,0.8201438849,0.381294964,0.2101449275,0.9999743568,0.2054324034,-0.258,0.331,173106805,0.06982419355,1.011188434
31,aave,AAVE,Aave,2084221617,46,135.01,231587009,56.07626782,0.74,0.5683453237,0.5692307692,0.731884058,0.1726618705,0.6330935252,0.347826087,0.9642137722,0.1111143878,0.058,0.481,2084221617,0.2040381448,0.8619324452
32,pons,PONS,Pons,556800790,101,0.781465,193594091,55.07210406,0.47,0.9424460432,0,0.9927536232,0.4244604317,0.9568345324,0.01449275362,0.7121047621,0.3476900437,,22.858,556800790,0.8047761458,5.453863494
33,hyperliquid,HYPE,Hyperliquid,19623658876,10,88.21,1297610073,54.7408901,0.02,0.4172661871,0.9538461538,0.8115942029,0.04316546763,0.9928057554,0.4855072464,0.2224457141,0.0661247773,2.071,0.599,1.962365888e+10,0.9844866071,0.7527657549
34,monad,MON,Monad,315489043,136,0.02663791,166158899,54.51339397,0,0.9784172662,0.7230769231,0.4927536232,0.5827338129,0.8417266187,0.3260869565,,0.5266709025,0.299,0.269,315489043,0.5455345091,0.8725417883
35,aster-2,ASTER,Aster,2128387807,44,0.786773,228590271,53.9124195,0.16,0.5467625899,0.6307692308,0.5797101449,0.1582733813,0.7194244604,0.8985507246,0.3380088833,0.1074006674,0.15,0.327,2128387807,0.3264618257,0.4509350327
36,lighter,LIT,Lighter,1136497611,68,4.55,91392788,53.76670557,0.07,0.4892086331,0.9461538462,0.8913043478,0.2661870504,0.8633093525,0.1376811594,0.25,0.08041617256,2.023,0.905,1136497611,0.5788804071,1.127061892
37,spx6900,SPX,SPX6900,517098587,109,0.555363,10036118,53.65249954,0.68,0.1151079137,0.7461538462,0.8333333333,0.4604316547,0.6762589928,0.1666666667,0.9309873352,0.01940851948,0.348,0.697,517098587,0.244653304,1.056638974
38,curve-dao-token,CRV,Curve DAO,598669044,96,0.384702,83453925,53.61635548,0.29,0.6834532374,0.8307692308,0.8260869565,0.3956834532,0.1726618705,0.2898550725,0.5130625842,0.1393990984,0.559,0.673,598669044,0.02502940794,0.9051684362
39,jupiter-exchange-solana,JUP,Jupiter,857489360,82,0.258198,133481773,53.39998837,0.15,0.7410071942,0.7769230769,0.6231884058,0.3309352518,0.5107913669,0.5,0.3320312968,0.1556658067,0.476,0.381,857489360,0.129099,0.7498494157
40,near,NEAR,NEAR Protocol,3062701531,33,2.35,505003020,53.37844373,0,0.7625899281,0.9076923077,0.6956521739,0.1366906475,0.4892086331,0.5434782609,,0.1648880947,1.336,0.457,3062701531,0.1149706458,0.6994590302
41,litecoin,LTC,Litecoin,4399509952,23,56.7,351612017,53.23870696,0.66,0.4820143885,0.5769230769,0.3913043478,0.1007194245,0.5251798561,0.8913043478,0.9235842032,0.07992072318,0.06,0.225,4399509952,0.1382050407,0.4548217636
42,apecoin,APE,ApeCoin,143825330,217,0.143836,26917396,53.06274071,0.96,0.8129496403,0.3923076923,0.134057971,0.8992805755,0.04316546763,0.5652173913,1,0.1871533756,-0.122,0.078,143825330,0.005387116105,0.6880928922
43,lido-dao,LDO,Lido DAO,343457153,125,0.411749,63761579,52.91901141,0.58,0.8057553957,0.2769230769,0.6594202899,0.5395683453,0.3525179856,0.3913043478,0.8341513229,0.1856463854,-0.236,0.42,343457153,0.0564039726,0.8268234256
44,seeker,SKR,Seeker,144962081,216,0.02077758,12261347,52.8328461,0,0.5035971223,0.6038461538,0.9492753623,0.8920863309,0.7553956835,0.05072463768,,0.08458313316,0.121,1.743,144962081,0.3722379877,2.42410888
45,1inch,1INCH,1INCH,133919462,230,0.095275,23914662,52.82445482,0.7,0.7913669065,0.1923076923,0.2210144928,0.9424460432,0.1007194245,0.847826087,0.9370493105,0.1785749557,-0.289,0.131,133919462,0.01101445087,0.5079843027
46,virtual-protocol,VIRTUAL,Virtuals Protocol,477603931,112,0.725425,95089318,52.52816823,0.38,0.8273381295,0.6230769231,0.4782608696,0.4676258993,0.5395683453,0.3623188406,0.6583858418,0.1990965983,0.143,0.261,477603931,0.143081854,0.8514629092
47,pyth-network,PYTH,Pyth Network,443145256,115,0.056266,49919685,52.29594612,0.51,0.5755395683,0.4384615385,0.6666666667,0.4748201439,0.309352518,0.5507246377,0.7874961194,0.1126485827,-0.073,0.426,443145256,0.04688833333,0.6931880987
48,thorchain,RUNE,THORChain,158776655,202,0.483049,23002869,52.29309649,0.67,0.7122302158,0.3769230769,0.115942029,0.8417266187,0.1582733813,0.9057971014,0.9285019962,0.1448756368,-0.144,0.073,158776655,0.02314561572,0.4449333931
49,just,JST,JUST,877987735,78,0.107217,20913531,52.1447567,0.56,0.1654676259,0.9230769231,0.09420289855,0.3021582734,0.8489208633,0.9347826087,0.8271457612,0.02381984413,1.593,0.059,877987735,0.5547983483,0.398886712
50,injective-protocol,INJ,Injective,573931539,100,5.74,117152632,52.03613564,0,0.8417266187,0.8538461538,0.5072463768,0.4172661871,0.4676258993,0.5072463768,,0.2041230078,0.737,0.272,573931539,0.1090839985,0.74274683
51,bitcoin,BTC,Bitcoin,1596474942602,1,79502,2.273598399e+10,51.86477627,0.72,0.05035971223,0.6384615385,0.384057971,0,0.8920863309,0.9420289855,0.9562371905,0.01424136601,0.188,0.222,1.596474943e+12,0.6305678934,0.3900769497
52,fetch-ai,FET,Artificial Superintelligence Alliance,409960087,119,0.177356,98393890,51.73453879,0.6,0.8848920863,0.3230769231,0.4927536232,0.4964028777,0.3165467626,0.4420289855,0.8516222087,0.2400084621,-0.208,0.269,409960087,0.05140753623,0.7970281358
53,pieverse,PIEVERSE,Pieverse,326978484,131,1.19,9206728,51.57271561,0.12,0.2014388489,0.9307692308,0.7246376812,0.5611510791,0.9424460432,0.2173913043,0.27475,0.02815698418,1.819,0.479,326978484,0.7125748503,1.010103831
54,meteora,MET,Meteora,122086871,240,0.221068,17529556,51.47926662,0.32,0.7050359712,0.4923076923,0.4673913043,0.964028777,0.7122302158,0.1739130435,0.5505724491,0.1435826462,-0.024,0.257,122086871,0.3218282373,1.033008714
55,zama,ZAMA,Zama,134489870,228,0.054176,23713802,51.40645477,0,0.7841726619,0.9153846154,0.2101449275,0.9352517986,0.964028777,0.1811594203,,0.1763240756,1.546,0.126,134489870,0.8173808087,1.032579953
56,bittorrent,BTT,BitTorrent,299180732,141,3.03069e-07,6546787,50.93176857,0.86,0.1510791367,0.3846153846,0.2463768116,0.5971223022,0.4532374101,0.9710144928,0.9970079655,0.02188238178,-0.125,0.152,299180732,0.08835830904,0.2917156058
57,convex-finance,CVX,Convex Finance,211058099,171,2.26,7705816,50.70092595,0.69,0.273381295,0.5615384615,0.7463768116,0.7338129496,0.2517985612,0.2028985507,0.931945185,0.03651040181,0.044,0.487,211058099,0.03761025129,1.017580326
58,venice-token,VVV,Venice Token,819993251,84,17.16,12626374,50.03788407,0,0.06474820144,0.9923076923,0.7608695652,0.3381294964,0.9496402878,0.4057971014,,0.01539814381,3.711,0.516,819993251,0.7599645704,0.8172000237
59,falcon-finance-ff,FF,Falcon Finance,374482512,122,0.119265,7555758,50.03721317,0.13,0.1294964029,0.8230769231,0.884057971,0.5179856115,0.5611510791,0.3550724638,0.314,0.02017653097,0.514,0.865,374482512,0.1547260429,0.8561542697
60,trust-wallet-token,TWT,Trust Wallet,242759964,158,0.582634,13074557,50.01718759,0,0.3741007194,0.5923076923,0.7028985507,0.6690647482,0.6402877698,0.5579710145,,0.05385796235,0.108,0.465,242759964,0.2142036765,0.6920757513
61,kaspa,KAS,Kaspa,997450897,72,0.03600118,32117899,50.00514705,0.75,0.2374100719,0.1307692308,0.5579710145,0.2877697842,0.6043165468,0.8768115942,0.9645522353,0.03219998007,-0.364,0.308,997450897,0.1735741113,0.4790662921
62,pepe,PEPE,Pepe,1525434616,57,3.63e-06,190129127,49.91613291,0.96,0.6402877698,0.3615384615,0.4456521739,0.2374100719,0.5179856115,0.268115942,1,0.1246393159,-0.149,0.252,1525434616,0.1295041027,0.9295740733
