rank,coin_id,symbol,name,market_cap,market_cap_rank,current_price,total_volume,composite_score,pct_dilution,pct_liquidity,pct_momentum_200d,pct_momentum_30d,pct_size_tilt,pct_trend_health,pct_volatility,raw_dilution,raw_liquidity,raw_momentum_200d,raw_momentum_30d,raw_size_tilt,raw_trend_health,raw_volatility
1,venice-token,VVV,Venice Token,1115078089,70,23.29,153385707,66.79487179,0,0.7948717949,1,0.9743589744,0.9743589744,0.9487179487,0.07692307692,,0.1375560228,4.755,1.029,1115078089,0.7978759849,1.151140749
2,lighter,LIT,Lighter,1121877226,69,4.49,99443648,63.59416446,0.03448275862,0.6923076923,0.9487179487,0.9487179487,0.9487179487,0.8461538462,0.1025641026,0.25,0.08864040173,1.996,0.81,1121877226,0.5712468193,1.098068061
3,ethena,ENA,Ethena,1498889728,57,0.148423,334553281,63.14323607,0.5172413793,0.9487179487,0.7692307692,0.9230769231,0.8717948718,0.2051282051,0.02564102564,0.6730208333,0.2232007297,0.443,0.643,1498889728,0.09764671053,1.188364753
4,chainlink,LINK,Chainlink,8795418226,17,11.78,4250923723,62.12643678,0.5862068966,1,0.5641025641,0.6666666667,0.2820512821,0.5641025641,0.5384615385,0.7480999704,0.4833111529,0.161,0.364,8795418226,0.2235294118,0.6385237102
5,zcash,ZEC,Zcash,20651655889,10,1221.45,1223833579,61.36604775,0.6551724138,0.5128205128,0.9743589744,1,0.1538461538,0.6923076923,0.05128205128,0.8058032073,0.0592607966,3.926,1.528,2.065165589e+10,0.3826681663,1.153043722
6,pump-fun,PUMP,Pump.fun,1632946140,52,0.00393737,370257584,61.31299735,0.2413793103,0.9743589744,0.8717948718,0.7692307692,0.7435897436,0.7179487179,0,0.4146661624,0.2267420676,0.931,0.445,1632946140,0.4464604018,1.380395663
7,aave,AAVE,Aave,1894420557,47,122.79,223022752,61.27320955,0.9310344828,0.7692307692,0.4102564103,0.7435897436,0.641025641,0.4871794872,0.2307692308,0.9642205977,0.1177261043,-0.004,0.382,1894420557,0.1855702822,0.8605011365
8,uniswap,UNI,Uniswap,3736405023,28,6,653817084,60.69407604,0.4137931034,0.8974358974,0.8461538462,0.8974358974,0.4102564103,0.358974359,0.1794871795,0.6232124237,0.1749856025,0.717,0.54,3736405023,0.1335707925,0.9059870135
9,kaspa,KAS,Kaspa,1062374564,72,0.0383985,28913396,59.73916888,0.9655172414,0.2820512821,0.05128205128,0.8205128205,1,0.4615384615,0.6153846154,0.9647320722,0.02721582103,-0.352,0.48,1062374564,0.1851324182,0.5860534728
10,near,NEAR,NEAR Protocol,3156717289,32,2.42,567379469,57.56410256,0,0.9230769231,0.8974358974,0.8717948718,0.4871794872,0.2564102564,0.358974359,,0.1797371817,1.356,0.513,3156717289,0.1183953033,0.748255354
